tail_to_length_ratio,body_to_length_ratio,wick_to_length_ratio,trade_decision
0.496,0.35,0.154,Buy
0.56,0.25,0.189,Buy
0.6,0.248,0.151,Buy
0.398,0.317,0.285,Buy
0.555,0.223,0.222,Buy
0.786,0.057,0.157,Buy
0.494,0.301,0.205,Buy
0.642,0.222,0.136,Buy
0.677,0.271,0.053,Buy
0.5,0.366,0.134,Buy
0.707,0.032,0.26,Buy
0.444,0.336,0.22,Buy
0.735,0.109,0.156,Buy
0.65,0.171,0.18,Buy
0.596,0.222,0.181,Buy
0.382,0.427,0.191,Buy
0.595,0.25,0.155,Buy
0.561,0.278,0.161,Buy
0.674,0.199,0.128,Buy
0.581,0.281,0.137,Buy
0.608,0.224,0.168,Buy
0.767,0.029,0.204,Buy
0.699,0.08,0.221,Buy
0.614,0.27,0.116,Buy
0.781,0.092,0.127,Buy
0.681,0.036,0.282,Buy
0.627,0.2,0.173,Buy
0.45,0.36,0.189,Buy
0.794,0.081,0.125,Buy
0.528,0.314,0.158,Buy
0.524,0.37,0.107,Buy
0.566,0.278,0.156,Buy
0.594,0.228,0.178,Buy
0.577,0.196,0.227,Buy
0.409,0.462,0.129,Buy
0.551,0.351,0.099,Buy
0.586,0.302,0.113,Buy
0.827,0.084,0.089,Buy
0.598,0.186,0.217,Buy
0.356,0.343,0.301,Buy
0.273,0.454,0.273,Buy
0.538,0.24,0.222,Buy
0.695,0.238,0.067,Buy
0.409,0.383,0.208,Buy
0.535,0.155,0.31,Buy
0.664,0.236,0.1,Buy
0.558,0.281,0.16,Buy
0.715,0.109,0.176,Buy
0.534,0.266,0.199,Buy
0.64,0.262,0.098,Buy
0.45,0.374,0.176,Buy
0.416,0.169,0.416,Buy
0.604,0.236,0.159,Buy
0.462,0.34,0.198,Buy
0.5,0.285,0.215,Buy
0.334,0.423,0.243,Buy
0.599,0.226,0.175,Buy
0.598,0.151,0.251,Buy
0.65,0.182,0.168,Buy
0.58,0.233,0.187,Buy
0.768,0.094,0.138,Buy
0.68,0.184,0.136,Buy
0.611,0.169,0.219,Buy
0.487,0.235,0.278,Buy
0.732,0.099,0.168,Buy
0.721,0.098,0.181,Buy
0.658,0.171,0.171,Buy
0.483,0.297,0.22,Buy
0.573,0.33,0.096,Buy
0.483,0.406,0.111,Buy
0.713,0.135,0.152,Buy
0.575,0.262,0.163,Buy
0.54,0.37,0.09,Buy
0.706,0.063,0.232,Buy
0.77,0.048,0.182,Buy
0.509,0.078,0.412,Buy
0.603,0.318,0.079,Buy
0.685,0.076,0.239,Buy
0.688,0.228,0.084,Buy
0.517,0.307,0.176,Buy
0.736,0.107,0.157,Buy
0.556,0.304,0.14,Buy
0.526,0.285,0.189,Buy
0.645,0.254,0.101,Buy
0.56,0.301,0.139,Buy
0.533,0.359,0.108,Buy
0.747,0.15,0.103,Buy
0.748,0.146,0.106,Buy
0.605,0.253,0.142,Buy
0.48,0.196,0.324,Buy
0.725,0.046,0.229,Buy
0.525,0.258,0.216,Buy
0.691,0.102,0.207,Buy
0.491,0.285,0.223,Buy
0.359,0.483,0.158,Buy
0.703,0.142,0.155,Buy
0.777,0.072,0.151,Buy
0.598,0.275,0.127,Buy
0.472,0.307,0.221,Buy
0.315,0.467,0.218,Buy
0.766,0.082,0.152,Buy
0.711,0.038,0.251,Buy
0.636,0.219,0.145,Buy
0.783,0.025,0.192,Buy
0.707,0.107,0.186,Buy
0.756,0.02,0.223,Buy
