tail_to_length_ratio,body_to_length_ratio,wick_to_length_ratio,trade_decision
0.191,0.367,0.442,No Trade
0.409,0.206,0.385,No Trade
0.307,0.382,0.311,No Trade
0.419,0.319,0.263,No Trade
0.443,0.243,0.314,No Trade
0.369,0.331,0.3,No Trade
0.382,0.202,0.416,No Trade
0.239,0.376,0.384,No Trade
0.381,0.375,0.244,No Trade
0.345,0.29,0.365,No Trade
0.366,0.35,0.284,No Trade
0.39,0.281,0.329,No Trade
0.305,0.205,0.49,No Trade
0.408,0.124,0.468,No Trade
0.377,0.315,0.308,No Trade
0.214,0.513,0.273,No Trade
0.304,0.309,0.387,No Trade
0.385,0.23,0.385,No Trade
0.342,0.138,0.521,No Trade
0.343,0.289,0.368,No Trade
0.331,0.355,0.314,No Trade
0.356,0.186,0.458,No Trade
0.278,0.444,0.278,No Trade
0.244,0.388,0.368,No Trade
0.384,0.159,0.458,No Trade
0.397,0.207,0.396,No Trade
0.377,0.354,0.269,No Trade
0.349,0.336,0.315,No Trade
0.478,0.213,0.309,No Trade
0.338,0.313,0.349,No Trade
0.343,0.147,0.51,No Trade
0.342,0.484,0.174,No Trade
0.342,0.318,0.34,No Trade
0.235,0.491,0.273,No Trade
0.417,0.268,0.316,No Trade
0.284,0.436,0.281,No Trade
0.439,0.14,0.421,No Trade
0.26,0.515,0.225,No Trade
0.466,0.124,0.41,No Trade
0.294,0.296,0.411,No Trade
0.347,0.325,0.329,No Trade
0.404,0.294,0.302,No Trade
0.352,0.364,0.284,No Trade
0.362,0.233,0.405,No Trade
0.363,0.406,0.23,No Trade
0.458,0.003,0.539,No Trade
0.349,0.222,0.429,No Trade
0.358,0.29,0.352,No Trade
0.242,0.526,0.232,No Trade
0.311,0.214,0.475,No Trade
0.364,0.343,0.292,No Trade
0.318,0.379,0.302,No Trade
0.328,0.29,0.381,No Trade
0.327,0.429,0.244,No Trade
0.312,0.366,0.322,No Trade
0.291,0.521,0.188,No Trade
0.398,0.301,0.301,No Trade
0.374,0.212,0.414,No Trade
0.227,0.302,0.471,No Trade
0.328,0.403,0.269,No Trade
0.301,0.239,0.46,No Trade
0.326,0.311,0.362,No Trade
0.308,0.345,0.347,No Trade
0.339,0.387,0.275,No Trade
0.248,0.516,0.236,No Trade
0.274,0.446,0.281,No Trade
0.271,0.377,0.352,No Trade
0.283,0.471,0.245,No Trade
0.308,0.383,0.309,No Trade
0.447,0.228,0.325,No Trade
0.232,0.429,0.339,No Trade
0.38,0.261,0.359,No Trade
0.337,0.327,0.337,No Trade
0.218,0.36,0.421,No Trade
0.428,0.11,0.461,No Trade
0.372,0.311,0.317,No Trade
0.405,0.045,0.55,No Trade
0.365,0.293,0.342,No Trade
0.222,0.364,0.415,No Trade
0.337,0.34,0.323,No Trade
0.259,0.362,0.379,No Trade
0.244,0.338,0.418,No Trade
0.361,0.376,0.263,No Trade
0.448,0.096,0.456,No Trade
0.351,0.411,0.238,No Trade
0.291,0.339,0.37,No Trade
0.401,0.211,0.388,No Trade
0.386,0.295,0.32,No Trade
0.377,0.227,0.395,No Trade
0.214,0.563,0.222,No Trade
0.274,0.434,0.292,No Trade
0.338,0.492,0.17,No Trade
0.22,0.38,0.4,No Trade
0.387,0.418,0.196,No Trade
0.236,0.339,0.425,No Trade
0.362,0.397,0.241,No Trade
0.349,0.331,0.319,No Trade
0.315,0.404,0.282,No Trade
0.362,0.443,0.195,No Trade
0.338,0.239,0.422,No Trade
0.381,0.268,0.351,No Trade
0.323,0.235,0.443,No Trade
0.337,0.243,0.42,No Trade
0.312,0.357,0.331,No Trade
0.323,0.43,0.247,No Trade
0.318,0.481,0.202,No Trade
0.391,0.161,0.448,No Trade
0.323,0.295,0.382,No Trade
0.262,0.476,0.262,No Trade
0.396,0.289,0.315,No Trade
0.372,0.299,0.33,No Trade
0.333,0.318,0.35,No Trade
0.289,0.437,0.274,No Trade
0.263,0.36,0.376,No Trade
0.32,0.475,0.205,No Trade
0.352,0.284,0.364,No Trade
0.361,0.374,0.265,No Trade
0.377,0.252,0.37,No Trade
0.295,0.41,0.295,No Trade
0.352,0.325,0.323,No Trade
0.339,0.321,0.341,No Trade
0.394,0.147,0.459,No Trade
0.392,0.308,0.3,No Trade
0.362,0.187,0.451,No Trade
0.311,0.458,0.231,No Trade
0.348,0.376,0.276,No Trade
0.245,0.488,0.268,No Trade
0.318,0.342,0.34,No Trade
0.447,0.291,0.262,No Trade
0.262,0.476,0.262,No Trade
0.259,0.392,0.348,No Trade
0.308,0.383,0.308,No Trade
0.381,0.315,0.304,No Trade
0.275,0.398,0.327,No Trade
0.447,0.251,0.302,No Trade
0.361,0.402,0.237,No Trade
0.274,0.404,0.322,No Trade
0.353,0.356,0.292,No Trade
0.379,0.326,0.295,No Trade
0.363,0.201,0.437,No Trade
0.346,0.141,0.513,No Trade
0.346,0.327,0.327,No Trade
0.242,0.473,0.286,No Trade
0.33,0.317,0.353,No Trade
0.263,0.54,0.197,No Trade
0.273,0.439,0.288,No Trade
0.315,0.462,0.223,No Trade
0.346,0.361,0.293,No Trade
0.327,0.19,0.482,No Trade
0.333,0.348,0.319,No Trade
0.349,0.407,0.244,No Trade
0.433,0.243,0.324,No Trade
0.446,0.176,0.378,No Trade
0.433,0.329,0.238,No Trade
0.36,0.298,0.342,No Trade
0.424,0.076,0.5,No Trade
0.323,0.394,0.283,No Trade
0.299,0.333,0.368,No Trade
0.29,0.359,0.351,No Trade
0.361,0.298,0.341,No Trade
0.282,0.359,0.359,No Trade
0.283,0.271,0.446,No Trade
0.209,0.582,0.209,No Trade
0.258,0.435,0.306,No Trade
0.431,0.24,0.329,No Trade
0.398,0.321,0.281,No Trade
0.395,0.293,0.312,No Trade
0.249,0.466,0.285,No Trade
0.298,0.392,0.309,No Trade
0.309,0.466,0.225,No Trade
0.33,0.441,0.229,No Trade
0.283,0.358,0.359,No Trade
0.308,0.486,0.207,No Trade
0.255,0.374,0.372,No Trade
0.296,0.4,0.305,No Trade
0.301,0.425,0.274,No Trade
0.369,0.293,0.338,No Trade
0.325,0.351,0.325,No Trade
0.371,0.202,0.427,No Trade
0.522,0.056,0.422,No Trade
0.323,0.319,0.358,No Trade
0.401,0.143,0.455,No Trade
