tail_to_length_ratio,body_to_length_ratio,wick_to_length_ratio,trade_decision
0.205,0.278,0.517,Sell
0.079,0.344,0.577,Sell
0.061,0.345,0.595,Sell
0.206,0.444,0.35,Sell
0.154,0.014,0.833,Sell
0.086,0.143,0.771,Sell
0.232,0.373,0.394,Sell
0.129,0.283,0.588,Sell
0.18,0.095,0.726,Sell
0.293,0.217,0.49,Sell
0.116,0.358,0.527,Sell
0.134,0.387,0.479,Sell
0.302,0.038,0.66,Sell
0.233,0.254,0.513,Sell
0.289,0.385,0.326,Sell
0.251,0.09,0.659,Sell
0.114,0.27,0.616,Sell
0.228,0.259,0.513,Sell
0.221,0.238,0.541,Sell
0.184,0.193,0.624,Sell
0.148,0.083,0.77,Sell
0.128,0.277,0.595,Sell
0.075,0.095,0.83,Sell
0.177,0.274,0.549,Sell
0.17,0.055,0.774,Sell
0.09,0.079,0.832,Sell
0.08,0.322,0.599,Sell
0.201,0.431,0.368,Sell
0.169,0.162,0.669,Sell
0.166,0.213,0.62,Sell
0.203,0.198,0.598,Sell
0.127,0.028,0.845,Sell
0.165,0.186,0.649,Sell
0.186,0.188,0.626,Sell
0.157,0.134,0.709,Sell
0.256,0.158,0.586,Sell
0.163,0.142,0.695,Sell
0.208,0.143,0.649,Sell
0.226,0.413,0.361,Sell
0.113,0.074,0.812,Sell
0.11,0.055,0.835,Sell
0.103,0.112,0.784,Sell
0.139,0.228,0.633,Sell
0.177,0.135,0.687,Sell
0.113,0.091,0.796,Sell
0.138,0.329,0.533,Sell
0.247,0.089,0.664,Sell
0.081,0.195,0.724,Sell
0.204,0.076,0.72,Sell
0.119,0.21,0.671,Sell
0.167,0.031,0.802,Sell
0.147,0.287,0.566,Sell
0.104,0.277,0.619,Sell
0.122,0.288,0.591,Sell
0.145,0.011,0.844,Sell
0.188,0.072,0.74,Sell
0.233,0.141,0.626,Sell
0.161,0.163,0.676,Sell
0.116,0.212,0.672,Sell
0.214,0.279,0.507,Sell
0.139,0.229,0.632,Sell
0.291,0.035,0.674,Sell
0.169,0.431,0.401,Sell
0.189,0.109,0.702,Sell
0.255,0.066,0.679,Sell
0.198,0.172,0.63,Sell
0.17,0.221,0.609,Sell
0.484,0.032,0.484,Sell
0.164,0.022,0.814,Sell
0.219,0.231,0.55,Sell
0.198,0.123,0.678,Sell
0.023,0.225,0.751,Sell
0.132,0.197,0.672,Sell
0.158,0.246,0.596,Sell
0.289,0.371,0.341,Sell
0.117,0.342,0.541,Sell
0.159,0.335,0.505,Sell
0.077,0.257,0.666,Sell
0.237,0.169,0.595,Sell
0.256,0.085,0.66,Sell
0.116,0.331,0.552,Sell
0.193,0.282,0.525,Sell
0.356,0.174,0.47,Sell
0.194,0.111,0.695,Sell
0.286,0.065,0.649,Sell
0.141,0.283,0.576,Sell
0.201,0.166,0.634,Sell
0.186,0.297,0.518,Sell
0.064,0.257,0.68,Sell
0.247,0.056,0.697,Sell
0.205,0.024,0.771,Sell
0.169,0.269,0.562,Sell
0.109,0.151,0.74,Sell
0.146,0.24,0.613,Sell
0.206,0.272,0.523,Sell
0.15,0.419,0.431,Sell
0.159,0.152,0.689,Sell
0.129,0.134,0.736,Sell
0.252,0.014,0.734,Sell
0.108,0.214,0.678,Sell
0.274,0.414,0.312,Sell
0.096,0.231,0.673,Sell
0.31,0.27,0.42,Sell
0.098,0.095,0.808,Sell
0.338,0.035,0.627,Sell
0.32,0.126,0.554,Sell
0.245,0.051,0.704,Sell
0.202,0.202,0.597,Sell
0.279,0.308,0.413,Sell
0.273,0.218,0.509,Sell
0.181,0.239,0.58,Sell
0.212,0.286,0.502,Sell
0.167,0.352,0.481,Sell
0.103,0.281,0.616,Sell
0.136,0.036,0.828,Sell
0.214,0.345,0.441,Sell
0.225,0.27,0.504,Sell
0.065,0.306,0.629,Sell
0.184,0.168,0.649,Sell
0.203,0.04,0.756,Sell
0.184,0.112,0.704,Sell
0.233,0.126,0.641,Sell
0.133,0.213,0.654,Sell
0.154,0.122,0.725,Sell
0.131,0.167,0.702,Sell
0.187,0.386,0.427,Sell
0.158,0.312,0.53,Sell
0.267,0.413,0.32,Sell
0.133,0.218,0.649,Sell
0.308,0.027,0.665,Sell
0.222,0.278,0.5,Sell
0.157,0.18,0.663,Sell
0.216,0.216,0.568,Sell
0.139,0.333,0.528,Sell
0.107,0.163,0.73,Sell
0.141,0.047,0.812,Sell
0.107,0.335,0.559,Sell
0.187,0.021,0.792,Sell
0.138,0.243,0.619,Sell
0.18,0.043,0.777,Sell
0.146,0.238,0.616,Sell
0.164,0.43,0.406,Sell
0.221,0.211,0.568,Sell
0.066,0.061,0.873,Sell
0.176,0.364,0.46,Sell
0.115,0.287,0.598,Sell
0.096,0.29,0.614,Sell
0.226,0.175,0.599,Sell
0.276,0.034,0.69,Sell
0.178,0.104,0.718,Sell
0.195,0.201,0.604,Sell
0.123,0.382,0.495,Sell
0.217,0.063,0.719,Sell
0.109,0.174,0.717,Sell
0.088,0.348,0.564,Sell
0.234,0.047,0.718,Sell
0.239,0.129,0.632,Sell
0.139,0.302,0.56,Sell
0.218,0.164,0.618,Sell
0.107,0.39,0.503,Sell
0.162,0.274,0.564,Sell
0.184,0.371,0.445,Sell
0.223,0.102,0.675,Sell
0.204,0.154,0.642,Sell
0.17,0.178,0.652,Sell
0.143,0.051,0.806,Sell
0.267,0.242,0.491,Sell
0.177,0.221,0.603,Sell
0.196,0.063,0.741,Sell
0.104,0.148,0.748,Sell
0.102,0.364,0.534,Sell
0.167,0.273,0.561,Sell
0.119,0.234,0.646,Sell
0.218,0.218,0.563,Sell
0.37,0.149,0.481,Sell
0.142,0.183,0.675,Sell
0.221,0.01,0.769,Sell
0.155,0.254,0.591,Sell
0.172,0.423,0.405,Sell
0.234,0.111,0.655,Sell
0.112,0.308,0.58,Sell
0.131,0.067,0.801,Sell
0.107,0.056,0.836,Sell
0.175,0.347,0.477,Sell
0.161,0.271,0.568,Sell
0.111,0.153,0.736,Sell
0.081,0.187,0.732,Sell
0.11,0.329,0.562,Sell
0.249,0.022,0.729,Sell
0.086,0.134,0.78,Sell
0.193,0.416,0.392,Sell
0.134,0.222,0.644,Sell
0.225,0.162,0.613,Sell
0.255,0.277,0.468,Sell
0.235,0.024,0.741,Sell
0.127,0.297,0.576,Sell
0.129,0.43,0.441,Sell
0.157,0.076,0.767,Sell
0.115,0.232,0.652,Sell
0.134,0.041,0.825,Sell
0.157,0.268,0.575,Sell
0.201,0.165,0.634,Sell
0.174,0.066,0.76,Sell
0.122,0.154,0.724,Sell
0.076,0.322,0.602,Sell
0.095,0.327,0.578,Sell
0.147,0.295,0.558,Sell
0.107,0.218,0.675,Sell
0.233,0.107,0.66,Sell
0.205,0.223,0.572,Sell
0.13,0.225,0.645,Sell
0.189,0.291,0.52,Sell
0.223,0.004,0.773,Sell
0.171,0.219,0.609,Sell
0.063,0.372,0.565,Sell
0.292,0.016,0.692,Sell
0.047,0.212,0.741,Sell
0.174,0.254,0.572,Sell
0.126,0.404,0.47,Sell
0.184,0.353,0.463,Sell
0.18,0.112,0.708,Sell
0.173,0.099,0.729,Sell
0.122,0.174,0.705,Sell
0.148,0.249,0.603,Sell
0.198,0.287,0.516,Sell
0.105,0.108,0.788,Sell
0.124,0.272,0.603,Sell
0.1,0.051,0.849,Sell
0.097,0.369,0.534,Sell
0.106,0.242,0.652,Sell
0.268,0.173,0.559,Sell
0.196,0.103,0.701,Sell
0.318,0.29,0.392,Sell
0.138,0.226,0.636,Sell
0.327,0.346,0.327,Sell
0.232,0.022,0.746,Sell
0.12,0.242,0.638,Sell
0.089,0.222,0.689,Sell
0.209,0.435,0.356,Sell
0.039,0.404,0.556,Sell
0.13,0.295,0.575,Sell
0.138,0.25,0.612,Sell
0.331,0.289,0.38,Sell
0.146,0.207,0.647,Sell
0.155,0.109,0.737,Sell
0.087,0.244,0.67,Sell
0.212,0.265,0.523,Sell
0.185,0.277,0.538,Sell
0.086,0.113,0.801,Sell
0.154,0.297,0.549,Sell
0.151,0.176,0.673,Sell
0.241,0.329,0.43,Sell
0.227,0.094,0.679,Sell
0.137,0.093,0.77,Sell
0.186,0.11,0.704,Sell
0.181,0.043,0.776,Sell
0.11,0.138,0.752,Sell
0.153,0.001,0.846,Sell
0.234,0.097,0.669,Sell
0.152,0.1,0.748,Sell
0.188,0.429,0.383,Sell
0.192,0.274,0.533,Sell
0.281,0.274,0.445,Sell
0.094,0.373,0.533,Sell
0.229,0.439,0.332,Sell
0.137,0.051,0.813,Sell
0.227,0.07,0.703,Sell
0.207,0.13,0.663,Sell
0.117,0.249,0.634,Sell
0.119,0.074,0.807,Sell
0.132,0.17,0.698,Sell
0.082,0.268,0.65,Sell
0.235,0.128,0.637,Sell
0.133,0.311,0.555,Sell
0.203,0.081,0.716,Sell
0.158,0.288,0.555,Sell
0.295,0.201,0.504,Sell
0.185,0.019,0.796,Sell
0.089,0.131,0.779,Sell
0.136,0.19,0.675,Sell
0.111,0.107,0.782,Sell
0.35,0.093,0.557,Sell
0.223,0.199,0.579,Sell
0.242,0.129,0.629,Sell
0.048,0.25,0.703,Sell
0.147,0.142,0.711,Sell
0.26,0.134,0.606,Sell
0.123,0.32,0.557,Sell
0.223,0.17,0.607,Sell
0.194,0.134,0.672,Sell
0.199,0.216,0.584,Sell
0.295,0.003,0.702,Sell
0.243,0.173,0.584,Sell
0.375,0.016,0.609,Sell
0.247,0.025,0.728,Sell
0.241,0.058,0.701,Sell
0.283,0.071,0.646,Sell
0.189,0.409,0.402,Sell
0.131,0.267,0.602,Sell
0.309,0.186,0.506,Sell
0.101,0.266,0.633,Sell
0.144,0.089,0.766,Sell
0.198,0.23,0.572,Sell
0.315,0.114,0.571,Sell
0.249,0.006,0.745,Sell
0.355,0.291,0.355,Sell
0.348,0.051,0.601,Sell
0.175,0.316,0.509,Sell
0.275,0.208,0.518,Sell
0.1,0.289,0.611,Sell
0.346,0.174,0.479,Sell
0.237,0.362,0.401,Sell
0.32,0.156,0.524,Sell
0.239,0.242,0.52,Sell
0.098,0.21,0.692,Sell
0.169,0.008,0.823,Sell
0.124,0.306,0.57,Sell
0.106,0.097,0.797,Sell
0.123,0.356,0.521,Sell
0.103,0.136,0.76,Sell
0.256,0.023,0.721,Sell
0.16,0.015,0.825,Sell
0.266,0.337,0.398,Sell
0.121,0.266,0.612,Sell
0.115,0.298,0.587,Sell
0.253,0.169,0.578,Sell
0.233,0.305,0.462,Sell
0.212,0.184,0.604,Sell
0.116,0.159,0.725,Sell
0.073,0.207,0.72,Sell
0.223,0.341,0.436,Sell
0.135,0.183,0.681,Sell
0.217,0.027,0.756,Sell
0.376,0.118,0.506,Sell
0.091,0.247,0.663,Sell
0.251,0.159,0.59,Sell
0.199,0.209,0.592,Sell
0.179,0.186,0.635,Sell
0.292,0.096,0.613,Sell
0.135,0.307,0.558,Sell
0.054,0.313,0.633,Sell
0.236,0.236,0.529,Sell
0.136,0.214,0.65,Sell
0.217,0.03,0.753,Sell
0.221,0.204,0.575,Sell
0.295,0.411,0.295,Sell
0.123,0.22,0.657,Sell
0.128,0.172,0.7,Sell
